Open, Close, High, Low, Volume
2016-10-04 00:00:00-04:00,59.47,63.01,63.05,58.91,3657135
2016-10-05 00:00:00-04:00,63.08,63.39,63.75,63,3647603
2016-10-06 00:00:00-04:00,63.15,59.03,63.21,58.77,3729874
2016-10-07 00:00:00-04:00,59.29,59.12,59.74,58.72,3153412
2016-10-10 00:00:00-04:00,59.25,59.48,59.8,59.11,2641020
2016-10-11 00:00:00-04:00,59.25,58.61,62.79,58.46,4456128
2016-10-12 00:00:00-04:00,58.78,58.03,59,57.84,3820530
2016-10-13 00:00:00-04:00,57.8,57.98,61.44,57.53,5009682
2016-10-14 00:00:00-04:00,58.25,57.05,58.31,57.02,4840961
2016-10-17 00:00:00-04:00,56.97,60.15,60.71,56.74,4972183
2016-10-18 00:00:00-04:00,60.62,58.36,61.12,57.87,6032003
2016-10-19 00:00:00-04:00,58.86,58.24,58.92,57.99,4510485
2016-10-20 00:00:00-04:00,58.27,58.55,58.77,58.16,3621840
2016-10-21 00:00:00-04:00,58.19,57.82,58.25,57.5,3570235
2016-10-24 00:00:00-04:00,57.99,57.95,58.51,57.88,3118214
2016-10-25 00:00:00-04:00,57.87,61.57,61.655,57.77,5546154
2016-10-26 00:00:00-04:00,61.51,57.85,61.71,57.53,3761141
2016-10-27 00:00:00-04:00,58.25,61.47,61.65,57.45,5658093
2016-10-28 00:00:00-04:00,57.55,54.61,57.79,53.93,22040240
2016-10-31 00:00:00-04:00,54.1,52.89,54.33,52.83,12508030
2016-11-01 00:00:00-04:00,53.13,53.52,53.67,52.79,9139707
2016-11-02 00:00:00-04:00,53.52,53.84,54.21,53.46,8810846
2016-11-03 00:00:00-04:00,54.16,55.89,56.5699,53.45,9007182
2016-11-04 00:00:00-04:00,56.07,56.03,56.87,53.09,9764545
2016-11-07 00:00:00-05:00,56.81,55.85,61.16,55.57,16235375
2016-11-08 00:00:00-05:00,55.75,58.81,59.605,55.02,8283236
2016-11-09 00:00:00-05:00,64.18,62.63,64.695,59.06,15906489
2016-11-10 00:00:00-05:00,63.06,64.07,65.05,62.79,13453185
2016-11-11 00:00:00-05:00,63.54,63.08,63.85,59.55,8619505
2016-11-14 00:00:00-05:00,63.4,62.97,63.64,59.02,6781700
2016-11-15 00:00:00-05:00,63.39,62.87,63.39,61.98,3976836
2016-11-16 00:00:00-05:00,62.67,58.35,62.97,58.24,5491282
2016-11-17 00:00:00-05:00,58.55,58.5,58.77,57.96,4159532
2016-11-18 00:00:00-05:00,58.43,57.38,58.9,57.24,5937860
2016-11-21 00:00:00-05:00,57.53,60.44,60.7,57.06,4799979
2016-11-22 00:00:00-05:00,57.3,58.98,59.05,55.67,7343924
2016-11-23 00:00:00-05:00,58.81,57.06,60.38,56.81,4607025
2016-11-25 00:00:00-05:00,56.95,57.37,57.55,56.6,1983207
2016-11-28 00:00:00-05:00,56.37,56.37,56.82,55.94,4910379
2016-11-29 00:00:00-05:00,56.59,61.6,62.1,56.42,8941652
2016-11-30 00:00:00-05:00,61.64,57.64,61.84,57.53,6841234
2016-12-01 00:00:00-05:00,57.67,59.16,59.17,55.94,7116786
2016-12-02 00:00:00-05:00,59.19,56.35,60,56.29,6785794
2016-12-05 00:00:00-05:00,56.51,60.86,61.22,56.48,8884144
2016-12-06 00:00:00-05:00,60.76,58.42,61.54,58,6541810
2016-12-07 00:00:00-05:00,57.13,56.88,57.5,55.75,11496680
2016-12-08 00:00:00-05:00,56.9,57.74,60.69,56.01,8115550
2016-12-09 00:00:00-05:00,58.01,58.35,58.71,57.76,5950655
2016-12-12 00:00:00-05:00,58.33,62.05,62.19,58.31,4576513
2016-12-13 00:00:00-05:00,62.33,58.77,62.4,58.75,7130008
2016-12-14 00:00:00-05:00,58.36,58.47,59.07,58.32,3910768
2016-12-15 00:00:00-05:00,58.59,58.8,58.89,58.36,5379657
2016-12-16 00:00:00-05:00,58.9,62.22,62.29,58.8,5728245
2016-12-19 00:00:00-05:00,62.37,62.22,63.33,62.12,4843284
2016-12-20 00:00:00-05:00,62.34,62.16,62.71,61.75,4571244
2016-12-21 00:00:00-05:00,62.225,58.26,62.41,58.25,4644060
2016-12-22 00:00:00-05:00,58.39,58.46,61.92,58.17,4365133
2016-12-23 00:00:00-05:00,58.59,59.1,59.18,58.3,4253086
2016-12-27 00:00:00-05:00,59.28,59.26,59.75,59.18,4838233
2016-12-28 00:00:00-05:00,59.26,62.28,62.5763,59.01,4285420
2016-12-29 00:00:00-05:00,62.39,59.47,63.06,59.39,4391833
2016-12-30 00:00:00-05:00,59.46,59.37,59.65,59.16,4590002
2017-01-03 00:00:00-05:00,59.67,62.39,62.44,58.77,7856620
2017-01-04 00:00:00-05:00,62.58,63.28,63.56,59.8,7277889
2017-01-05 00:00:00-05:00,63.38,60.46,63.95,60.44,4357558
2017-01-06 00:00:00-05:00,60.55,60.48,60.66,60.2,3774762
2017-01-09 00:00:00-05:00,60.54,64.16,64.38,60.49,4722570
2017-01-10 00:00:00-05:00,64.05,64.08,64.5,63.77,4391371
2017-01-11 00:00:00-05:00,63.38,61.14,63.62,58.03,11367104
2017-01-12 00:00:00-05:00,60.77,61.265,61.36,57.91,7442441
2017-01-13 00:00:00-05:00,61.35,59.37,62.38,59.22,5820786
2017-01-17 00:00:00-05:00,59.15,61.85,61.86,58.52,6234965
2017-01-18 00:00:00-05:00,61.76,61.66,62.14,61.315,4386640
2017-01-19 00:00:00-05:00,61.45,58.78,61.88,58.56,4671334
2017-01-20 00:00:00-05:00,58.81,61.15,61.31,58.49,5416008
2017-01-23 00:00:00-05:00,61.02,58.38,61.26,58.13,4164921
2017-01-24 00:00:00-05:00,58.33,58.02,60.48,57.14,5494791
2017-01-25 00:00:00-05:00,58.03,58.78,59.01,57.78,6892351
2017-01-26 00:00:00-05:00,61.11,61.28,61.9,58.67,6587446
2017-01-27 00:00:00-05:00,60,59.99,61.25,57.01,12787311
2017-01-30 00:00:00-05:00,59.91,60.42,60.47,59.27,6381749
2017-01-31 00:00:00-05:00,60.01,61.11,61.315,59.75,5653038
2017-02-01 00:00:00-05:00,61.07,58.31,61.1,57.97,4656758
2017-02-02 00:00:00-05:00,58.08,58.31,58.53,57.92,4442240
2017-02-03 00:00:00-05:00,61.05,58.1,61.05,57.89,5277393
2017-02-06 00:00:00-05:00,57.92,58.08,58.36,57.77,4110288
2017-02-07 00:00:00-05:00,58.08,58,58.29,57.84,3549907
2017-02-08 00:00:00-05:00,57.59,60.52,60.52,57.51,4616529
2017-02-09 00:00:00-05:00,60.62,58.26,60.96,58.22,3305820
2017-02-10 00:00:00-05:00,58.26,60.43,60.465,57.71,5140907
2017-02-13 00:00:00-05:00,60.58,60.5,60.859,60.4344,4489783
2017-02-14 00:00:00-05:00,60.44,58.25,60.71,58.07,8286732
2017-02-15 00:00:00-05:00,58.36,61.63,61.84,57.86,6616922
2017-02-16 00:00:00-05:00,61.67,58.88,61.91,58.25,4682762
2017-02-17 00:00:00-05:00,58.95,59.16,61.96,58.6,5927291
2017-02-21 00:00:00-05:00,59.24,61.81,62.02,58.92,6811526
2017-02-22 00:00:00-05:00,61.77,58.76,61.83,58.72,5266291
2017-02-23 00:00:00-05:00,59.05,61.96,62.2353,58.83,6743053
2017-02-24 00:00:00-05:00,61.92,62.08,62.16,59,5501998
2017-02-27 00:00:00-05:00,62.02,59.59,62.37,59.5,4070650
2017-02-28 00:00:00-05:00,59.49,61.83,61.99,59.09,4916202
2017-03-01 00:00:00-05:00,62.16,62.83,62.91,59.65,6358389
2017-03-02 00:00:00-05:00,62.7,63.23,63.599,62.6,6223657
2017-03-03 00:00:00-05:00,63.11,63.32,63.53,62.83,5270278
2017-03-06 00:00:00-05:00,63,60.86,63.47,60.63,5247352
2017-03-07 00:00:00-05:00,60.48,63.68,64.14,60.31,7730059
2017-03-08 00:00:00-05:00,63.75,64.15,64.26,61.41,5721600
2017-03-09 00:00:00-05:00,64.14,64.51,64.72,64.05,4923320
2017-03-10 00:00:00-05:00,62.5,63.09,63.6,62.32,10266710
2017-03-13 00:00:00-04:00,63.05,65.88,65.94,62.51,4888282
2017-03-14 00:00:00-04:00,65.88,65.65,66.05,65.6,2816871
2017-03-15 00:00:00-04:00,65.7,66.56,66.79,63.06,4125238
2017-03-16 00:00:00-04:00,66.45,63.11,66.45,62.78,3985142
2017-03-17 00:00:00-04:00,63.25,62.91,66.03,62.74,5475293
2017-03-20 00:00:00-04:00,63,65.8,65.975,62.85,2744924
2017-03-21 00:00:00-04:00,65.96,65.35,66,65.04,3788882
2017-03-22 00:00:00-04:00,65.3,65.52,65.73,62.34,3612417
2017-03-23 00:00:00-04:00,65.52,62.87,66.065,62.76,3381702
2017-03-24 00:00:00-04:00,62.73,62.84,63.31,62.55,3176377
2017-03-27 00:00:00-04:00,62.62,63.3,66.25,62.49,4215624
2017-03-28 00:00:00-04:00,63.17,63.19,63.41,62.86,4212183
2017-03-29 00:00:00-04:00,63.16,62.99,66.27,62.9,2779874
2017-03-30 00:00:00-04:00,62.98,62.69,63.03,62.49,3232126
2017-03-31 00:00:00-04:00,62.66,65.175,65.375,62.45,2708825
2017-04-03 00:00:00-04:00,65.3,62.28,65.59,62.12,3470299
2017-04-04 00:00:00-04:00,62.37,65.1,65.13,62.16,2644989
2017-04-05 00:00:00-04:00,65.27,62.21,65.76,62.14,3401653
2017-04-06 00:00:00-04:00,62.28,62.33,62.44,61.91,3364118
2017-04-07 00:00:00-04:00,62.3,62.77,63.13,62.08,4631165
2017-04-10 00:00:00-04:00,62.7,62.22,62.96,62.13,4709210
2017-04-11 00:00:00-04:00,62.32,62.07,62.32,61.24,4604982
2017-04-12 00:00:00-04:00,64.18,62.26,64.18,61.59,4190092
2017-04-13 00:00:00-04:00,62.1,64.15,64.5149,62.07,3191787
2017-04-17 00:00:00-04:00,64.79,62.2,64.9701,61.98,2927573
2017-04-18 00:00:00-04:00,61.93,63.65,63.79,61.04,3984330
2017-04-19 00:00:00-04:00,63.9,63.44,63.93,61.48,3357283
2017-04-20 00:00:00-04:00,63.72,61.69,63.74,61.6,3705316
2017-04-21 00:00:00-04:00,61.66,61.73,62.17,61.45,3465160
