Trained On,Error 499,Error 500,Error 501,Error 502,Error 503,
0,35837.47103442715,25370.419015410902,11441.730111800736,10823.695823218057,49171.47260248048,
1,1832.9871427113915,2254.16762760721,35705.47326559678,4724.795652249323,799.4110722211414,
2,1866.1208982590442,3347.16030079321,41395.493589704005,11864.116338323494,3232.3994999247757,
