ID, Error,
1,52863.911127177336,
2,46196.30764665165,
6,44466.6312688341,
20,36472.010811370026,
21,14737.580576371352,
25,7277.823885696761,
38,7066.884964879311,
67,4516.290736744525,
87,4151.053377232117,
