Trained On,Error 499,Error 500,Error 501,Error 502,Error 503,
0,31152.67033150595,21286.095936695987,11105.186473714974,8138.1110528785575,42999.74875567161,
1,1572.1265673925582,1729.526803660506,35504.03414352858,6208.910860659725,1262.600496174108,
