ID, Error
0,57080.59246
1,52863.91113
2,46196.30765
3,47787.74335
4,52552.75292
5,52150.76488
6,44466.63127
7,47778.83841
8,51460.5501
9,53507.7718
10,46367.31805
11,46843.05422
12,54169.55165
13,53011.21044
14,47771.31297
15,48083.62091
16,52953.50019
17,53139.51622
18,47435.21799
19,76823.76889
20,36472.01081
21,14737.58058
22,20648.55856
23,25182.93182
24,37345.1782
25,7277.823886
26,12192.02165
27,10701.2062
28,33300.15146
29,17831.08947
30,12004.43881
31,7527.381169
32,36322.38765
33,18862.86364
34,7300.378427
35,7754.872276
36,36326.64917
37,20783.67527
38,7066.884965
39,13186.21017
40,29332.56855
41,7924.179704
42,12693.55573
43,15146.42
44,32614.7605
45,7445.49189
46,13239.00926
47,8596.454347
48,31204.08232
49,16669.79371
50,9374.617155
51,8354.449876
52,28992.56875
53,17679.94051
54,8905.015999
55,9757.054821
56,28923.29583
57,17417.11672
58,12913.22604
59,13213.23534
60,28995.05404
61,9420.762053
62,10490.73783
63,12630.28325
64,31062.89122
65,8794.556727
66,10125.93338
67,4516.290737
68,30623.42928
69,16418.61124
70,11356.26867
71,5417.154505
72,30021.02213
73,17595.51672
74,14960.53835
75,6896.759331
76,29721.64459
77,17486.47035
78,12653.01175
79,12846.61008
80,31856.36744
81,10594.38634
82,12708.20488
83,9698.759432
84,30543.74482
85,7571.045616
86,12773.05474
87,4151.053377
88,30110.56789
89,17676.59545
90,10911.82848
91,4994.119477
92,27696.21807
93,16742.54334
94,9987.896505
95,4452.412607
96,28265.00022
97,16218.3528
98,5297.887204
99,10555.90766
100,31936.27568
101,7693.202182
102,12122.51135
