ID, Error,
0,57354.274645798396,
1,51469.885443077925,
2,45471.05823052105,
3,47689.999758503574,
4,50735.588782456085,
5,52260.59259300527,
6,46248.11107960423,
7,48296.44248889563,
8,49779.505263041116,
9,53219.89318108177,
10,44514.66456274396,
11,50139.672149283964,
12,51137.14999454712,
13,53834.39611762744,
14,48538.89706577398,
15,46736.75711793225,
16,49520.66237742085,
17,53049.58876479516,
18,49223.58367497117,
19,78941.02278038356,
20,43920.566455385604,
21,14020.542658418615,
22,18917.229900878996,
23,25612.08738488865,
24,32130.538732402387,
25,9236.672663421754,
26,10925.00836232302,
27,8067.031835270077,
28,32120.90994162412,
29,20404.81829301192,
30,13011.12026606866,
31,7350.176543588367,
32,36935.25458072634,
33,19205.070121752382,
34,13115.988751846255,
35,14427.771243731895,
36,36666.76886167203,
37,19933.09333845144,
38,8590.453561116241,
