Trained On,Error 450,Error 451,Error 452,Error 453,Error 454,Error 455,Error 456,Error 457,Error 458,Error 459,Error 460,Error 461,Error 462,Error 463,Error 464,Error 465,Error 466,Error 467,Error 468,Error 469,Error 470,Error 471,Error 472,Average
0,54691.85448,9638.354321,36100.81724,57774.22798,13894.34236,45476.00907,69243.07597,71884.90923,8062.096048,33036.04169,11826.41662,12610.8483,8910.955069,11720.86688,59328.82288,34324.44343,28657.13354,15331.03781,43926.37384,11582.36748,15878.1597,38230.99748,8598.587688,30466.46692
1,1488.09182,81645.62637,1346.518571,1532.648119,112708.5717,968.2314126,1948.371005,2418.726779,18193.92979,1974.743233,88946.75388,2962.576722,14486.78127,6258.527471,1258.916724,1678.658325,2066.899354,5906.490286,1115.853016,27092.8745,9915.102379,1022.651009,42179.9036,18657.28032
2,7944.993028,83617.34591,1740.007295,6222.473455,114292.2841,2696.458072,12491.33285,13372.44863,21766.59341,2711.985653,90701.03422,7510.538587,18112.87617,10906.76325,6985.172074,2323.309766,3217.269046,9663.479726,2111.28673,29370.10591,12536.00283,1714.623847,44493.52812,22021.82229
3,40948.13954,8266.299678,4258.139601,8115.196955,12587.52795,12077.22841,19456.98018,16497.54169,5824.765335,13726.56713,11900.11442,3762.127918,5838.990206,3839.135518,8810.351245,3731.472228,4409.269358,3837.121081,5060.399322,4308.909347,2834.581745,20787.60639,6676.831829,9893.708569
4,61476.38822,58384.6448,25644.06681,43508.4125,77798.8381,38377.42364,57869.55246,58142.33976,16542.86688,28611.34052,60975.21142,4816.046581,13862.52192,6490.379823,45065.87484,23428.72436,19760.07553,8195.874795,32037.29529,24539.1993,14481.36966,40197.48938,33576.73425,34512.29004
5,1849.538608,118487.6302,2503.89764,1902.726662,153227.8595,1639.985615,2999.764352,3448.422224,41657.05882,3052.39951,127280.1519,15844.47445,35381.85971,23365.30121,2019.758078,2723.675929,5145.426666,19830.73459,2350.203822,49361.02791,24404.38503,1256.032602,70693.17307,30888.0647
6,57974.59771,5912.759386,10221.75101,14454.28374,9122.851998,19426.42895,25763.03241,22908.85102,4988.879108,25511.10768,6110.793928,6011.021733,5638.804434,3650.770197,15087.71048,9306.030185,9671.327714,4948.17469,11388.37433,4640.165,4513.206744,32535.12344,5295.208194,13699.18496
7,1685.022015,97953.11254,2930.937024,2458.511449,128941.7523,2638.083748,989.0387325,881.4251928,30898.49891,3327.042703,105018.5998,10507.4616,26192.72362,16484.24794,2153.802369,3072.384204,4631.05962,13890.57701,2958.344735,38169.07641,17875.18252,2560.388693,56150.97433,24885.57598
8,32959.71909,113828.1827,7679.804836,28126.81189,141944.0275,17957.99929,43029.42027,44865.02375,51520.38056,10048.60093,120889.9984,28686.20281,45314.05485,35055.15674,30003.16886,9724.220694,11788.79311,31024.97543,12806.05691,54571.3705,32741.53214,14051.8341,73456.78056,43133.65721
9,7227.292784,199246.1687,44276.59775,15734.0107,234761.2019,25404.46492,2043.180841,1715.064417,117594.7689,46540.59477,208374.4044,86836.84553,109791.4766,96352.40442,13952.47811,48135.41856,55582.67262,91053.65177,33356.33771,123082.4401,93769.92079,28254.5051,147327.5651,79583.1942
