Time, Equity
0, 10000
1, 10057.27
2, 9934.660000000002
3, 9975.648
4, 10422.618
5, 10500.398000000001
6, 10529.048
7, 10667.447999999999
8, 10844.918
9, 11009.309799999999
10, 10942.134799999998
11, 10935.5048
12, 11009.644800000002
13, 11140.924800000003
14, 11291.719800000003
15, 11508.694800000003
16, 11419.642400000004
17, 11777.867400000005
18, 11644.352400000003
19, 11608.594100000004
20, 11849.306100000003
21, 11946.953100000002
22, 12173.762100000004
23, 12271.402100000001
24, 12358.287100000001
25, 12346.832100000003
26, 12614.816700000003
27, 12698.966700000006
28, 12857.951700000005
29, 12939.625700000006
30, 12940.510400000005
31, 12870.910400000004
32, 13089.225400000005
33, 13134.435400000004
34, 13192.350400000005
35, 13350.680400000003
36, 13375.979700000002
37, 13165.855700000004
38, 12957.9657
39, 12664.218200000001
40, 12814.564700000004
41, 12808.154700000005
42, 12929.544700000004
43, 12922.979700000004
44, 12671.379700000005
45, 12633.549700000005
46, 12626.790700000001
47, 12690.073200000003
48, 12761.643200000002
49, 12955.744600000004
50, 13003.614600000003
51, 13129.729600000002
52, 13088.969600000002
53, 13177.609600000002
54, 12896.295200000002
55, 12845.2661
56, 12765.506100000002
57, 12432.491100000001
58, 12436.246100000002
59, 12609.111100000004
60, 12405.831100000005
61, 12540.521100000005
62, 12691.181100000005
63, 12507.536100000005
64, 12660.779700000006
65, 12682.189700000006
66, 12698.659700000007
67, 12815.709700000009
68, 12801.839700000008
69, 12844.049700000007
70, 12817.502000000006
71, 12895.008400000006
72, 12966.414900000005
73, 12976.494900000005
74, 13079.814900000003
75, 13176.034900000002
76, 12990.124900000003
77, 13205.414900000003
78, 13467.424900000002
79, 13650.084900000002
80, 14010.796400000003
81, 13884.622099999999
82, 13903.8421
83, 13727.1821
84, 13615.922099999998
85, 13767.352099999998
86, 13968.757100000003
87, 13903.392100000001
88, 13999.717100000002
89, 14151.142100000001
90, 14086.142100000003
91, 13633.3271
92, 13866.7771
93, 13902.487100000002
94, 13997.997100000002
95, 13671.857100000001
96, 13407.567100000002
97, 13668.257100000004
98, 13580.5971
99, 13718.852900000002
100, 13845.390500000003
101, 13644.995500000003
102, 13444.185500000003
103, 13424.785500000004
104, 13484.515500000003
105, 13592.645500000004
106, 13990.492300000004
107, 14051.382300000001
108, 14272.462300000001
109, 14218.387300000004
110, 14338.5973
111, 14439.377300000002
112, 14708.727300000002
113, 14584.927300000003
114, 14697.057300000002
115, 14883.887300000004
116, 15096.738200000007
117, 15559.928200000006
118, 15773.008200000004
119, 15691.268200000004
120, 15762.058200000001
121, 15490.658200000002
122, 15502.786000000002
123, 15732.956000000002
124, 15836.5804
125, 15940.5868
126, 16260.036799999998
127, 16379.2468
128, 16442.4468
129, 16672.236800000002
130, 16539.566800000004
131, 16797.5868
132, 16862.341800000002
133, 17141.016800000005
134, 16924.736800000006
135, 16940.846800000007
136, 17013.02680000001
137, 16904.626800000005
138, 16571.496800000008
139, 16496.451800000006
140, 16625.80180000001
141, 16929.143800000005
142, 17123.608800000005
143, 17112.183800000006
144, 16818.213800000005
145, 17116.833800000004
146, 17157.713800000005
147, 16865.808800000006
148, 16449.178800000005
149, 16138.668800000005
150, 16013.378800000008
151, 15993.968800000006
152, 16578.448800000006
153, 16439.568800000005
154, 16519.793800000007
155, 16526.488200000003
156, 15955.578200000007
157, 15885.178200000008
158, 15763.238200000007
159, 15826.218200000007
160, 16159.178200000006
161, 16670.008200000004
162, 16601.281800000004
163, 16418.375
164, 16261.925000000001
165, 15686.885000000004
166, 15631.575000000006
167, 15740.065000000004
168, 15798.505000000006
169, 15862.871800000008
170, 15368.961800000006
171, 15755.151800000005
172, 15766.741800000003
173, 15659.951800000006
174, 15555.038800000006
175, 15469.141800000003
176, 15673.081800000005
177, 15592.591800000006
178, 15715.756800000008
179, 15796.136800000007
180, 15894.456800000009
181, 16069.936800000009
182, 16031.416800000006
183, 15971.766800000005
184, 15681.296800000006
185, 16092.586800000005
186, 16118.771800000004
187, 16172.936800000001
188, 16262.8168
189, 15932.0418
190, 15567.4868
191, 15636.811799999998
192, 15653.4718
193, 15627.463199999998
194, 15391.933200000001
195, 15323.233199999999
196, 15096.193199999998
197, 15142.593199999996
198, 15574.353199999998
199, 15715.473199999997
200, 15557.673199999996
201, 15578.313199999993
202, 15509.772199999994
203, 15727.221099999993
204, 15881.75109999999
205, 15912.616099999988
206, 15748.221099999992
207, 15754.316099999993
208, 15977.096099999992
209, 15913.671099999994
210, 15889.871099999991
211, 15813.26109999999
212, 16106.871099999993
213, 15979.346099999992
214, 16028.576899999991
215, 15981.218299999991
216, 16263.929599999992
217, 16567.065599999987
218, 16295.783099999986
219, 16043.170999999986
220, 16042.550999999987
221, 15947.060999999987
222, 15938.760999999988
223, 15836.11099999999
224, 16012.795999999991
225, 15893.365999999989
226, 15958.97099999999
227, 16105.540999999988
228, 16179.610999999988
229, 16364.490999999989
230, 16492.940999999988
231, 16258.607699999988
232, 16318.41369999999
233, 16184.093699999992
234, 16000.48519999999
235, 16247.435699999989
236, 16393.17569999999
237, 17027.83569999999
238, 17199.569699999985
239, 17365.409699999982
240, 17226.899699999987
241, 17413.56969999999
242, 17678.79869999999
243, 17722.05869999999
244, 17861.768699999993
245, 18126.16369999999
246, 18122.10369999999
247, 18437.313699999988
248, 18464.08369999999
249, 18341.623699999986
250, 18364.243699999985
251, 18385.823699999983
252, 18387.273699999983
253, 18313.893699999986
254, 18228.423699999985
255, 18439.143699999986
256, 18184.91369999999
257, 18212.43869999999
258, 18200.783699999993
259, 18115.513699999992
260, 18229.763699999992
261, 18262.144199999995
262, 18364.024199999996
263, 18771.234199999995
264, 18790.104199999994
265, 18586.204199999993
266, 18352.024199999993
267, 18261.494199999994
268, 18073.04419999999
269, 17608.714199999988
270, 17782.064199999986
271, 17581.414199999985
272, 17707.274199999985
273, 17413.034199999987
274, 17389.894199999988
275, 17558.164199999985
276, 17809.141699999986
277, 17925.301699999985
278, 18190.85169999999
279, 18293.46169999998
280, 18275.661699999982
281, 18420.911699999986
282, 18587.951699999983
283, 19082.941199999983
284, 18864.44119999998
285, 19208.859199999977
286, 18834.084599999976
287, 18761.394599999978
288, 18422.734599999978
289, 17387.936999999976
290, 16553.253299999975
291, 15417.733299999976
292, 15391.273299999977
293, 15507.898299999975
294, 15373.658299999975
295, 15544.938299999976
296, 14916.128299999978
297, 14674.068299999977
298, 11761.294299999978
299, 12891.184299999977
300, 11815.469299999977
301, 11254.034299999978
302, 11795.868599999976
303, 12179.249299999974
304, 11164.436499999974
305, 9313.361499999974
306, 10085.281499999974
307, 11457.096499999974
308, 11853.566499999975
309, 12789.222099999977
310, 14197.415199999978
311, 14605.835199999978
312, 12955.165199999978
313, 15665.856799999978
314, 15885.68489999998
315, 17092.849399999977
316, 18622.85479999998
317, 18522.52979999998
318, 18507.471799999974
319, 19889.157699999974
320, 23045.272699999976
321, 24992.28769999998
322, 25843.64769999998
323, 26538.27769999998
324, 25073.167699999984
325, 24289.55669999998
326, 27379.135699999984
327, 28841.560699999984
328, 29031.66319999998
329, 29689.418199999982
330, 30038.573199999984
331, 31116.199999999986
332, 30611.829999999984
333, 33427.668199999986
334, 34155.08319999998
335, 34341.52319999998
336, 33586.84319999998
337, 33630.93319999998
338, 33336.162599999974
339, 32322.591999999982
340, 32863.69099999999
341, 34811.445999999996
342, 35484.076
343, 34965.936
344, 32563.755999999998
345, 33825.3925
346, 33618.962499999994
347, 34663.3247
348, 35862.854699999996
349, 38204.49329999998
350, 37355.24229999999
351, 38581.2173
352, 39570.54729999999
353, 39996.24729999999
354, 40622.137299999995
355, 41351.36729999999
356, 43798.662299999996
357, 45874.02229999999
358, 46203.3574
359, 46694.60739999999
360, 46878.10739999999
361, 44900.68739999999
362, 46870.23739999998
363, 48592.28239999998
364, 47259.81239999997
