Time, Equity
0, 1000
1, 1013.79
2, 1011.67
3, 1009.5199999999999
4, 1013.655
5, 1006.1649999999998
6, 1003.5654000000001
7, 1000.3354000000002
8, 991.9553999999999
9, 1004.7054000000002
10, 1020.8254000000002
11, 1022.0853999999999
12, 966.3254000000002
13, 964.6574000000002
14, 962.8657000000002
15, 1117.3257
16, 1116.7807000000003
17, 1112.9207000000006
18, 1119.2657000000006
19, 1123.6956000000007
20, 1129.8856000000005
21, 1149.9356000000005
22, 1173.0756000000006
23, 1170.115600000001
24, 1143.115600000001
25, 1178.0656000000008
26, 1190.6956000000011
27, 1182.7856000000013
28, 1206.1656000000012
29, 1217.8166000000012
30, 1212.806600000001
31, 1225.5366000000013
32, 1235.9066000000012
33, 1284.6966000000011
34, 1287.6966000000011
35, 3131.1666000000014
36, 3133.8066000000013
37, 3208.476600000002
38, 3259.087300000003
39, 3309.8173000000015
40, 3281.5223000000015
41, 3247.2480000000014
42, 3243.6580000000017
43, 3279.4380000000015
44, 3311.578000000002
45, 4614.318000000002
46, 4680.788000000002
47, 4794.278000000003
48, 4745.028000000003
49, 4784.788000000002
50, 4744.638000000003
51, 4720.178000000003
52, 4747.338000000003
53, 4691.0880000000025
54, 4717.808000000003
55, 4753.694000000003
56, 4720.504000000003
57, 4699.165600000003
58, 4684.515600000002
59, 4644.495600000002
60, 4698.425600000001
61, 4773.675600000001
62, 4754.047600000002
63, 4796.307600000001
64, 4869.127600000002
65, 4914.772600000001
66, 4957.433900000002
67, 5004.1739000000025
68, 5174.973900000001
69, 5175.883900000001
70, 5282.653900000001
71, 5264.383900000001
72, 5342.883900000001
73, 5338.893900000001
74, 5377.6539
75, 5397.343900000002
76, 5358.6739
77, 5296.143900000002
78, 5258.463900000002
79, 5215.008900000002
80, 5248.408900000003
81, 5269.393900000003
82, 5314.133900000003
83, 5291.5939000000035
84, 5343.033900000003
85, 5283.323900000004
86, 5340.278900000004
87, 5310.896400000002
88, 5321.736400000003
89, 5354.946400000003
90, 5391.336400000004
91, 5434.616400000003
92, 5429.686400000002
93, 5434.556400000002
94, 5432.486400000002
95, 5519.296400000001
96, 5568.8014
97, 5595.1990000000005
98, 5655.1990000000005
99, 5639.849
100, 5716.1190000000015
101, 5692.089000000002
102, 5673.5289999999995
103, 5754.059
104, 5698.049000000001
105, 5741.9890000000005
106, 5742.469000000001
107, 5781.349000000002
108, 5803.889000000001
109, 5882.219000000001
110, 5892.459
111, 5932.6990000000005
112, 5962.829
113, 5989.599000000001
114, 5943.599000000001
115, 5986.579
116, 5991.5790000000015
117, 5928.369
118, 5972.679
119, 5866.798999999999
120, 5897.453999999999
121, 5833.793999999999
122, 5883.944699999997
123, 5796.763899999998
124, 5844.917499999996
125, 5844.187499999996
126, 5848.037499999998
127, 5856.257499999997
128, 5967.867499999998
129, 6056.537499999996
130, 6096.767499999996
131, 6169.027499999996
132, 6201.457499999997
133, 6268.717499999998
134, 6256.637499999998
135, 6234.432499999997
136, 6121.752999999998
137, 6141.472999999997
138, 6182.191999999997
139, 6174.211699999997
140, 6167.381699999997
141, 6133.141699999997
142, 6093.601699999997
143, 6122.231699999998
144, 6180.044099999998
145, 6243.174099999999
146, 6312.434099999999
147, 6187.794099999998
148, 6203.304099999999
149, 6243.754100000001
150, 6342.4740999999985
151, 6307.008899999998
152, 6341.9609999999975
153, 6222.903999999999
154, 6198.497499999999
155, 6243.88
156, 6198.909999999998
157, 6209.119999999999
158, 6222.419999999999
159, 6301.539999999998
160, 6301.3099999999995
161, 6376.59
162, 6362.549999999999
163, 6338.33
164, 6366.699999999999
