Time, Average Gain, 1G Account
,,1000
10/17/2020 16:14:57, 0.0, 1000.0
10/17/2020 16:14:57, 0.037608843946871806, 1037.6088439468717
10/17/2020 16:14:58, 0.030348148076532633, 1069.0983507884912
10/17/2020 16:14:59, 0.002730548361670415, 1072.0175755387013
10/17/2020 16:15:00, 0.0031816437869047753, 1075.4283535973668
10/17/2020 16:15:00, 0.005867373114558649, 1081.7382930058982
10/17/2020 16:15:01, 0.08610616514578018, 1174.8826291079783
10/17/2020 16:15:02, 0.04031011723319344, 1222.2422856225637
10/17/2020 16:15:03, -0.015774388942693562, 1202.9621604269464
10/17/2020 16:15:03, 0.026830513472420492, 1235.2382528790938
