Time, Equity
11, 1002.5400000000001
21, 998.69
32, 989.99
43, 1033.5
54, 995.8500000000001
65, 959.3600000000001
76, 960.98
87, 981.0200000000002
98, 977.1800000000001
109, 996.4100000000001
